mechanism,projection,N,detection_rate,material_rate,mean_z,mean_d
temporal_concat,CBAD_R2,5000,0.0,0.0,-2.2014,-3.0914
temporal_concat,CBAD_c,5000,0.0,0.0,-0.0033,-0.0047
temporal_concat,VocabGini,5000,1.0,1.0,772.3765,1035.8462
temporal_concat,cp_spectrum,5000,0.8,0.8,0.4987,0.1114
temporal_concat,CBAD_R2,10000,1.0,1.0,-4.8781,-6.7545
temporal_concat,CBAD_c,10000,1.0,1.0,41.5465,39.0302
temporal_concat,VocabGini,10000,1.0,1.0,917.7394,995.9354
temporal_concat,cp_spectrum,10000,0.85,0.85,0.6359,0.096
temporal_concat,CBAD_R2,50000,1.0,1.0,-13.0214,-17.3164
temporal_concat,CBAD_c,50000,1.0,1.0,36.178,36.834
temporal_concat,VocabGini,50000,1.0,1.0,569.5557,723.979
temporal_concat,cp_spectrum,50000,0.9,0.9,0.7398,0.0803
temporal_concat,CBAD_R2,100000,1.0,1.0,-19.4449,-24.8767
temporal_concat,CBAD_c,100000,1.0,1.0,29.8806,32.881
temporal_concat,VocabGini,100000,1.0,1.0,297.2976,407.9571
temporal_concat,cp_spectrum,100000,1.0,1.0,0.7599,0.0633
