level,n,leading_digit_mad,terminal_digit_chisq,cents_entropy,mod5_tv,mod10_tv,mod25_tv,mod100_tv,vocab_gini,c2,c3,c5,c7,c10,c5sq,L1,L2,L3,L4,tail_mass,prime_fraction
transaction,25264,0.006968,80368.610038,4.053708,0.485046,0.534262,0.520204,0.547663,0.199195,0.140314,0.048026,0.230091,0.024916,0.370405,0.19321,0.542544,0.253781,0.133663,0.055727,0.203674,0.018841
vendor_total,7359,0.00808,21783.686506,4.155268,0.473053,0.515573,0.514559,0.527555,0.122674,0.132734,0.046006,0.222974,0.024117,0.355707,0.187025,0.546534,0.253747,0.133412,0.05396,0.199719,0.021063
