mechanism,baseline_type,projection,z_score,effect_size_d,verdict
divisibility,divisibility_neutral,ThresholdDensity,nan,nan,?
divisibility,divisibility_neutral,TemporalConcentration,nan,nan,?
divisibility,divisibility_neutral,cp_spectrum,2371.73,750.006,+
divisibility,divisibility_neutral,L_profile,613.57,194.027,+
divisibility,divisibility_neutral,TailMass,719.75,227.604,+
divisibility,divisibility_neutral,CBAD_a,nan,nan,?
divisibility,divisibility_neutral,CBAD_c,nan,nan,?
divisibility,divisibility_neutral,CBAD_R2,nan,nan,?
divisibility,divisibility_aware,LeadingDigit,-0.9,-0.284,0
divisibility,divisibility_aware,TerminalDigit,-0.38,-0.121,0
divisibility,divisibility_aware,CentsEntropy,-0.98,-0.31,0
divisibility,divisibility_aware,DecimalResidue,1.29,0.407,0
divisibility,divisibility_aware,VocabGini,1.53,0.484,?
divisibility,divisibility_aware,ThresholdDensity,nan,nan,?
divisibility,divisibility_aware,TemporalConcentration,nan,nan,?
divisibility,divisibility_aware,cp_spectrum,2.18,0.69,?
divisibility,divisibility_aware,L_profile,-1.97,-0.624,?
divisibility,divisibility_aware,TailMass,1.97,0.623,?
divisibility,divisibility_aware,CBAD_a,nan,nan,?
divisibility,divisibility_aware,CBAD_c,nan,nan,?
divisibility,divisibility_aware,CBAD_R2,nan,nan,?
